"Comment","Designator","Footprint","Quantity","LCSC Part #"
"100nF","C1,C3,C4","Controls:C0402","3",""
"1uF","C2","Controls:C0402","1",""
"HC-FPC-05-10-12RLTAG","J1","Controls:HCTL_FPC12","1",""
"10k","R1,R2,R3,R6,R7,R13,R14","Controls:R0402","7",""
"4.7k","R4,R5","Controls:R0402","2",""
"22R","R8","Controls:R0402","1",""
"47k","R9,R10,R11,R12","Controls:R0402","4",""
"SKSWCEE010","SW1,SW2,SW3,SW4,SW5","Controls:SKSW_3x2","5",""
"AT42QT2120-MMHR","U1","Controls:QT2120_VQFN20","1",""
"TCA6408ARGTR","U2","Controls:TCA6408A_VQFN16","1",""
