Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C0402",7.300000,-26.000000,0.000000,bottom
"C2","1uF","C0402",12.000000,-24.100000,0.000000,bottom
"C3","100nF","C0402",16.000000,-31.800000,0.000000,bottom
"C4","100nF","C0402",16.000000,-29.800000,0.000000,bottom
"J1","HC-FPC-05-10-12RLTAG","HCTL_FPC12",8.130000,-9.411000,-90.000000,bottom
"R1","10k","R0402",7.800000,-22.200000,-90.000000,bottom
"R2","10k","R0402",6.000000,-22.200000,-90.000000,bottom
"R3","10k","R0402",4.200000,-21.400000,-90.000000,bottom
"R4","4.7k","R0402",13.200000,-26.000000,90.000000,bottom
"R5","4.7k","R0402",13.200000,-28.200000,90.000000,bottom
"R6","10k","R0402",12.000000,-31.000000,90.000000,bottom
"R7","10k","R0402",9.800000,-31.000000,90.000000,bottom
"R8","22R","R0402",13.800000,-21.800000,-90.000000,bottom
"R9","47k","R0402",26.000000,-31.000000,90.000000,bottom
"R10","47k","R0402",28.000000,-31.000000,90.000000,bottom
"R11","47k","R0402",30.000000,-31.000000,90.000000,bottom
"R12","47k","R0402",32.000000,-31.000000,90.000000,bottom
"R13","10k","R0402",24.000000,-31.000000,90.000000,bottom
"R14","10k","R0402",12.000000,-1.400000,-90.000000,bottom
"U1","AT42QT2120-MMHR","QT2120_VQFN20",5.700000,-28.800000,0.000000,bottom
"U2","TCA6408ARGTR","TCA6408A_VQFN16",19.000000,-31.000000,180.000000,bottom
"SW1","SKSWCEE010","SKSW_3x2",22.000000,-17.000000,0.000000,top
"SW2","SKSWCEE010","SKSW_3x2",22.000000,-4.000000,0.000000,top
"SW3","SKSWCEE010","SKSW_3x2",9.000000,-17.000000,90.000000,top
"SW4","SKSWCEE010","SKSW_3x2",35.000000,-17.000000,90.000000,top
"SW5","SKSWCEE010","SKSW_3x2",22.000000,-30.000000,0.000000,top
