Reference,Side,X_mm,Y_mm,Rotation_deg,Value,Locked
C1,B,126.2500,90.2500,0.000,"10uF",False
C10,B,135.5000,108.2500,0.000,"10uF",False
C11,B,144.2500,111.2500,90.000,"47nF",False
C12,B,141.7500,107.7500,-90.000,"10uF",False
C14,B,135.5000,116.7500,90.000,"1uF",False
C15,B,133.5000,110.2500,0.000,"10uF",False
C16,B,138.7500,116.2500,180.000,"47uF",False
C17,F,104.5880,109.5000,-90.000,"2.2uF",False
C18,F,106.3660,106.2995,-90.000,"22uF",False
C19,F,106.3660,109.5000,-90.000,"2.2uF",False
C2,B,129.5000,88.0000,0.000,"10uF",False
C20,F,108.6520,109.8810,0.000,"2.2uF",False
C21,F,117.0340,109.3730,0.000,"2.2uF",False
C22,F,113.4780,110.2620,-90.000,"2.2uF",False
C23,F,117.6690,107.3410,90.000,"2.2uF",False
C24,F,116.3990,107.3410,-90.000,"2.2uF",False
C25,F,117.0340,111.0240,0.000,"2.2uF",False
C26,F,116.3990,104.3185,90.000,"4.7uF",False
C27,F,116.9070,102.2610,0.000,"100nF",False
C28,F,105.8580,104.0390,180.000,"100nF",False
C29,F,117.6690,104.2930,90.000,"100nF",False
C3,B,123.2500,94.5000,90.000,"100nF",False
C30,F,124.0000,99.0000,90.000,"1uF",False
C31,F,118.0000,100.0000,-90.000,"1uF",False
C32,F,114.0000,100.2500,-90.000,"10pF",False
C33,F,108.5000,99.0000,-90.000,"10pF",False
C34,F,105.5000,95.2500,-90.000,"100nF",False
C35,F,117.2500,90.7500,0.000,"100nF",False
C36,B,131.0000,101.0000,180.000,"100nF",False
C37,B,137.5000,93.7500,0.000,"100nF",False
C38,B,133.7500,97.5000,180.000,"100nF",False
C39,F,121.0190,66.5810,-90.000,"1uF",False
C4,F,125.2500,112.5000,-90.000,"1uF",False
C40,F,121.0190,63.9140,90.000,"100nF",False
C41,F,119.7490,63.9140,90.000,"1uF",False
C42,B,137.4810,75.2410,180.000,"10uF",False
C43,B,143.0000,101.7500,-90.000,"220nF",False
C44,B,137.5000,95.2500,0.000,"100nF",False
C45,B,143.3230,66.0180,0.000,"100nF",False
C46,B,137.6080,62.0810,0.000,"100nF",False
C47,F,120.5000,78.5000,0.000,"100nF",False
C48,F,115.2500,78.0000,-90.000,"100nF",False
C49,B,119.5740,63.9350,-90.000,"10uF",False
C5,F,119.2500,116.2500,0.000,"1uF",False
C50,B,120.8615,63.9300,-90.000,"100nF",False
C53,B,135.7500,89.5000,-90.000,"100nF",False
C54,B,142.2500,89.5000,-90.000,"1uF",False
C55,B,137.4810,77.0190,180.000,"10uF",False
C56,B,139.5130,79.5590,90.000,"10uF",False
C57,B,137.6080,79.5590,90.000,"10uF",False
C58,F,119.2500,117.7500,0.000,"100nF",False
C6,B,142.2500,87.7500,0.000,"100nF",False
C7,B,140.5000,89.5000,0.000,"100nF",False
C8,F,104.5880,106.2995,-90.000,"22uF",False
C9,B,142.7500,115.7500,0.000,"4.7uF",False
CARD2,F,111.7000,65.7640,-90.000,"TF PUSH",True
CN1,F,112.5650,118.4250,90.000,"PJ-342B-TX-SMT",True
D1,F,135.5000,115.4000,90.000,"USBLC6-2SC6",False
D2,B,142.2500,112.2500,90.000,"B5817W",False
FPC2,B,140.1480,69.4000,90.000,"2.09寸320*375高清R角方屏QSPI",True
H1,F,130.0000,113.0000,-90.000,"BM02B-ACHSS-GAN-ETF",True
H2,F,142.0000,109.0000,-90.000,"BM03B-ACHSS-GAN-ETF",True
L1,B,129.7500,85.7500,180.000,"2.2uH",False
L2,B,139.0000,108.0000,0.000,"2.2uH",False
L3,F,125.5000,118.5000,-90.000,"BLM18KG601SN1D",False
L4,B,134.1790,76.6380,180.000,"4.7uH",False
R1,B,141.2500,97.0000,0.000,"10mΩ",False
R10,B,131.5000,112.5000,90.000,"0R/NC",False
R11,B,132.2500,114.7500,90.000,"100K",False
R12,B,133.7500,117.0000,90.000,"100K",False
R13,B,133.0000,112.5000,90.000,"5K23",False
R14,B,131.0000,110.2500,-90.000,"30K1",False
R17,F,109.0000,92.5000,90.000,"200K",False
R18,F,107.0000,93.0000,180.000,"10K",False
R19,F,104.0000,95.2500,90.000,"10K",False
R2,B,143.0000,99.5000,-90.000,"1K",False
R20,B,141.5940,62.8500,0.000,"10K",False
R21,B,131.2500,104.5000,-90.000,"100K",False
R22,B,134.0000,99.0000,0.000,"100K",False
R25,B,141.5940,64.3760,0.000,"10K",False
R26,F,109.2500,94.7500,-90.000,"10K",False
R27,B,133.7500,91.5000,0.000,"0/NC",False
R28,B,131.0000,94.2500,90.000,"0/NC",False
R29,F,119.7490,66.4540,90.000,"10K",False
R3,B,123.2500,90.0000,90.000,"22K1",False
R30,F,109.7500,96.7500,180.000,"10K",False
R31,F,132.7500,117.5000,-90.000,"5K1",False
R32,F,138.2500,117.5000,-90.000,"5K1",False
R33,B,140.2500,103.0000,-90.000,"1K",False
R34,B,138.7500,103.0000,-90.000,"0R/NC",False
R35,B,120.2090,60.3030,0.000,"10K",False
R36,B,120.2090,68.1770,0.000,"10K",False
R37,B,120.2090,66.9070,0.000,"10K",False
R38,B,120.2090,61.5730,0.000,"10K",False
R39,B,120.2090,65.6370,0.000,"10K",False
R4,B,123.2500,87.7500,90.000,"100K",False
R40,B,142.6880,76.7650,90.000,"1R5",False
R41,B,131.2325,80.4990,0.000,"100K",False
R42,B,141.7500,85.7500,-90.000,"10K",False
R43,B,133.7500,114.7500,90.000,"10K",False
R44,F,119.7500,113.7500,90.000,"10K",False
R5,B,125.5000,84.0000,180.000,"100K",False
R7,B,138.0000,89.5000,0.000,"10K",False
R8,B,135.7500,87.2500,90.000,"10K",False
R9,B,134.5000,112.5000,90.000,"700R",False
SCREW1,F,104.3000,114.5000,0.000,"M2 clearance 2.2mm",True
SCREW2,F,111.5730,84.3608,0.000,"M2 clearance 2.2mm",True
SCREW4,F,145.5000,92.5000,0.000,"M2 clearance 2.2mm",True
SCREW5,F,110.8085,53.7485,0.000,"M2 clearance 2.2mm",True
U1,B,139.0000,86.5000,0.000,"RX8130CE:BB",False
U11,F,122.5000,115.5000,180.000,"DRV2605LDGSR",False
U12,B,134.0000,94.5000,-90.000,"CH343P",False
U14,B,140.3000,100.0000,180.000,"STC3115AIQT",False
U15,F,117.7000,78.0000,90.000,"LSM6DS3TR-C",False
U16,B,134.5600,79.5590,180.000,"PAM2804AAB010",False
U17,B,134.0000,103.0000,0.000,"SGM7229YMS10G/TR",False
U2,F,111.7000,105.6900,0.000,"CS43131-CNZ",False
U3,B,138.0000,112.2000,90.000,"DSCB_BQ25895RTW",False
U4,B,126.0000,87.0000,90.000,"TLV62568DBVR",False
U5,F,121.0000,99.5000,0.000,"ME6211C18M5G-N",False
U6,B,126.0000,95.0000,-90.000,"GEK100",False
U7,F,107.4000,95.0000,-90.000,"PCA9306DQER",False
U8,F,117.0000,94.0000,-90.000,"SN74LV4T125RGYR",False
U9,F,133.7190,72.9310,0.000,"ESP32-S31-WROOM-3-N16R16V",True
USB1,F,135.4490,121.9460,0.000,"TYPE-C 16PIN 2MD(073)",True
X1,F,111.1000,99.6500,90.000,"26MHz",False
