pin,pin_name,gpio,group,signal,old_net,direction,target,reset_requirement,notes,board_side_at_minus90
1,ANT,,射频,ANT,,专用,RF匹配/天线,按RF参考设计,专用射频端口,上
2,VDDA3,,电源,3V3_VDDA3,,专用,3.3V域，局部滤波/去耦,按每个电源脚放去耦,VDDA模拟电源滤波不可省略,上
3,VDDA4,,电源,3V3_VDDA4,,专用,3.3V域，局部滤波/去耦,按每个电源脚放去耦,VDDA模拟电源滤波不可省略,上
4,CHIP_PU,,复位,CHIP_PU,ESP32S31_EN,专用,RC及CH343下载控制电路,10k上拉/RC按参考设计,旧网ESP32S31_EN；必须核对自动下载握手，不能误当普通GPIO,上
5,XTAL_32K_N/GPIO0,0,唤醒/中断,KEY_POWER_SENSE_N,ESP_IO42,输入,FPC1.11 / U6.1，经3.3V隔离检测,输入；上拉仅接3.3V；GPIO3极性由IMU配置,LP GPIO；唤醒需要固件配置。KEY必须隔离GEK供电域；不得原样直连。,上
6,XTAL_32K_P/GPIO1,1,唤醒/中断,CTRL_INT_N,ESP_IO43,输入,FPC1.5,输入；上拉仅接3.3V；GPIO3极性由IMU配置,LP GPIO；可按需要配置唤醒，保持供电时才有效。,上
7,GPIO2,2,唤醒/中断,RTC_INT_N,ESP_IO34,输入,U1.6,输入；上拉仅接3.3V；GPIO3极性由IMU配置,LP GPIO；可按需要配置唤醒，保持供电时才有效。,上
8,GPIO3,3,唤醒/中断,IMU_INT1,ESP_IO1,输入,U15.4,输入；上拉仅接3.3V；GPIO3极性由IMU配置,LP GPIO；可按需要配置唤醒，保持供电时才有效。,上
9,GPIO4,4,唤醒/中断,BAT_ALERT_N,ESP_IO35,输入,U14.1,输入；上拉仅接3.3V；GPIO3极性由IMU配置,LP GPIO；可按需要配置唤醒，保持供电时才有效。,上
10,GPIO5,5,唤醒/中断,CHG_INT_N,BQ25895_INT,输入,U3.7,输入；上拉仅接3.3V；GPIO3极性由IMU配置,LP GPIO；可按需要配置唤醒，保持供电时才有效。,上
11,VDDPST_1,,电源,3V3_VDDPST_1,,专用,3.3V域，局部滤波/去耦,按每个电源脚放去耦,VDDA模拟电源滤波不可省略,上
12,GPIO6,6,系统LP I2C,SYS_I2C_SCL,BQ25895_I2C_CLK,开漏双向,U3.5 U14.3 U1.2 U11.2 FPC1.4,外部上拉3.3V,LP I2C，F2；100kHz起步；不是I2C_NUM_2,上
13,GPIO7,7,系统LP I2C,SYS_I2C_SDA,BQ25895_I2C_SDA,开漏双向,U3.6 U14.2 U1.3 U11.3 FPC1.3,外部上拉3.3V,LP I2C，F2；LP核访问须与主核通过命令/共享内存协调,上
14,GPIO8,8,空闲GPIO,SPARE_GPIO8,,预留,,不接外设，固件避免悬空,供后续扩展；不得替代电源/USB专用脚,上
15,GPIO9,9,系统控制,POWER_OFF_REQ,GEK100_RST,输出,U6.3，经断电防反灌电路,外部下拉；上电低,新增软件关机请求；高有效，需保证掉电后复位脉冲时长,上
16,GPIO10,10,系统控制,CTRL_RESET_N,ESP_IO44,开漏输出,FPC1.6,释放，由小板RC上拉,CH32V006 PD7配置硬件复位后才生效,上
17,GPIO11,11,系统控制,USB_PATH_SEL,ESP_IO33,输出,U17.2,外部电阻固定默认路径,避开GPIO33复位USB功能；0/1对应哪路须核对U17真值表,上
18,VREF_TOUCH,,模拟预留,NC_VREF_TOUCH,,专用,本方案不用触摸/ADC则按手册处理,不作为GPIO,后续启用相关功能须补参考电容,上
19,GPIO12,12,系统控制,MOTOR_EN,ESP_IO40,输出,U11.5,外部下拉；默认关闭,保留现有R44下拉；PWM/触发使用需按马达驱动配置,上
20,GPIO13,13,系统控制,CHG_OTG_EN,BQ25895_OTG_EN,输出,U3.8,外部下拉；默认关闭,保留R12下拉；不得上电即打开OTG,上
21,GPIO14,14,音频HP I2C0,AUDIO_I2C_SCL,DAC_I2C_SCL,开漏双向,U7.6 U15.13,保留3.3V侧上拉,HP I2C0经GPIO Matrix；U7后为1.8V DAC总线,左
22,GPIO15,15,音频HP I2C0,AUDIO_I2C_SDA,DAC_I2C_SDA,开漏双向,U7.5 U15.14,保留3.3V侧上拉,HP I2C0经GPIO Matrix；U7后为1.8V DAC总线,左
23,GPIO16,16,空闲GPIO,SPARE_GPIO16,,预留,,不接外设，固件避免悬空,供后续扩展；不得替代电源/USB专用脚,左
24,GPIO17,17,空闲GPIO,SPARE_GPIO17,,预留,,不接外设，固件避免悬空,供后续扩展；不得替代电源/USB专用脚,左
25,GPIO18,18,空闲GPIO,SPARE_GPIO18,,预留,,不接外设，固件避免悬空,供后续扩展；不得替代电源/USB专用脚,左
26,GPIO19,19,系统控制,SD_CARD_DETECT_N,ESP_IO19,输入,CARD2.CD,新增/核对3.3V上拉,检测触点极性以实物卡座导通确认,左
27,SDIO_DATA0,20,SDMMC,SD_D0,ESP_TF_DAT0,双向,CARD2.7,CMD/D0-D3上拉3.3V；CLK不随意加上拉,原生SDIO F0；本板卡接口先用3.3V，不直接改1.8V模式,左
28,SDIO_DATA1,21,SDMMC,SD_D1,ESP_TF_DAT1,双向,CARD2.8,CMD/D0-D3上拉3.3V；CLK不随意加上拉,原生SDIO F0；本板卡接口先用3.3V，不直接改1.8V模式,左
29,SDIO_DATA2,22,SDMMC,SD_D2,ESP_TF_DAT2,双向,CARD2.1,CMD/D0-D3上拉3.3V；CLK不随意加上拉,原生SDIO F0；本板卡接口先用3.3V，不直接改1.8V模式,左
30,VDD_PSRAM_1P8_1,,电源,VDD_PSRAM_1P8_1,,专用,VDD_LDO_1P8，按参考电路,1.8V PSRAM供电,不是3.3V输入,左
31,SDIO_DATA3,23,SDMMC,SD_D3,ESP_TF_DAT3,双向,CARD2.2,CMD/D0-D3上拉3.3V；CLK不随意加上拉,原生SDIO F0；本板卡接口先用3.3V，不直接改1.8V模式,左
32,SDIO_CLK,24,SDMMC,SD_CLK,ESP_TF_CLK,输出,CARD2.5,CMD/D0-D3上拉3.3V；CLK不随意加上拉,原生SDIO F0；本板卡接口先用3.3V，不直接改1.8V模式,左
33,SDIO_CMD,25,SDMMC,SD_CMD,ESP_TF_CMD,双向,CARD2.3,CMD/D0-D3上拉3.3V；CLK不随意加上拉,原生SDIO F0；本板卡接口先用3.3V，不直接改1.8V模式,左
34,VDD_PSRAM_1P8_2,,电源,VDD_PSRAM_1P8_2,,专用,VDD_LDO_1P8，按参考电路,1.8V PSRAM供电,不是3.3V输入,左
35,VDD_LDO_1P8,,电源,VDD_LDO_1P8,,专用,PSRAM 1.8V供电和去耦,芯片电源输出,不能接外部3.3V,左
36,SPICS,26,启动Flash,FLASH_CS_N,ESP_FLASH_CS,输出,U10.1,按启动Flash参考电路,固定MSPI引脚；不分给应用GPIO；U10容量待选，建议与原模组16MB目标一致,左
37,SPIQ,27,启动Flash,FLASH_D1,ESP_FLASH_DO,双向,U10.2,按启动Flash参考电路,固定MSPI引脚；不分给应用GPIO；U10容量待选，建议与原模组16MB目标一致,左
38,SPIWP,28,启动Flash,FLASH_D2,ESP_FLASH_WP,双向,U10.3,按启动Flash参考电路,固定MSPI引脚；不分给应用GPIO；U10容量待选，建议与原模组16MB目标一致,左
39,VDD_SPI,,电源,VDD_SPI,,专用,外接Flash供电/去耦,按3.3V Flash参考电路,结合GPIO36配置；不是任意与外部电源并接,左
40,SPIHD,30,启动Flash,FLASH_D3,ESP_FLASH_HOLD,双向,U10.7,按启动Flash参考电路,固定MSPI引脚；不分给应用GPIO；U10容量待选，建议与原模组16MB目标一致,左
41,SPICLK,31,启动Flash,FLASH_CLK,ESP_FLASH_CLK,输出,U10.6,按启动Flash参考电路,固定MSPI引脚；不分给应用GPIO；U10容量待选，建议与原模组16MB目标一致,下
42,SPID,32,启动Flash,FLASH_D0,ESP_FLASH_DI,双向,U10.5,按启动Flash参考电路,固定MSPI引脚；不分给应用GPIO；U10容量待选，建议与原模组16MB目标一致,下
43,VCCA/VDDPST_2,,电源,3V3_VCCA/VDDPST_2,,专用,3.3V域，局部滤波/去耦,按每个电源脚放去耦,VDDA模拟电源滤波不可省略,下
44,USB_DP,,USB HS,USB_HS_DP,ESP_USB_DP,专用,U17.7,专用差分,旧网ESP_USB_DP；不是GPIO44,下
45,USB_DM,,USB HS,USB_HS_DM,ESP_USB_DN,专用,U17.6,专用差分,旧网ESP_USB_DN；不是GPIO45,下
46,GPIO33,33,调试预留,USB_DEBUG_DM,,专用差分,新增调试焊盘/连接器,保留USB Serial/JTAG功能,不再接USB切换SEL；与HS USB不是同一对线，不可并接,下
47,GPIO34,34,调试预留,USB_DEBUG_DP,,专用差分,新增调试焊盘/连接器,保留USB Serial/JTAG功能,不再接RTC中断；量产无调试连接器时可不装引出件,下
48,GPIO35,35,音频I2S,DAC_I2S_DOUT,DAC_I2S_SDIN,输出,U8.2,RESET默认低；时钟初始化前静止,GPIO Matrix；保留U8到1.8V域转换；DOUT是ESP输出，旧网SDIN按DAC视角命名,下
49,GPIO36,36,启动配置,STRAP_FLASH_3V3,,启动采样,启动上拉/下载电路,10k候选上拉3.3V,默认eFuse下高选择3.3V；不得悬空/接外部中断,下
50,GPIO37,37,启动配置,STRAP_USB_JTAG,,启动采样,启动上拉/下载电路,10k候选上拉3.3V,无内部上下拉；当JTAG_SEL_ENABLE启用时高选USB JTAG；不为此烧eFuse,下
51,GPIO38,38,音频I2S,DAC_I2S_LRCK,DAC_I2S_LRCK,输出,U8.5,RESET默认低；时钟初始化前静止,GPIO Matrix；保留U8到1.8V域转换；DOUT是ESP输出，旧网SDIN按DAC视角命名,下
52,GPIO39,39,音频I2S,DAC_RESET_N,DAC_RST#,输出,U8.12,RESET默认低；时钟初始化前静止,GPIO Matrix；保留U8到1.8V域转换；DOUT是ESP输出，旧网SDIN按DAC视角命名,下
53,GPIO40,40,音频I2S,DAC_I2S_BCLK,DAC_I2S_SCLK,输出,U8.9,RESET默认低；时钟初始化前静止,GPIO Matrix；保留U8到1.8V域转换；DOUT是ESP输出，旧网SDIN按DAC视角命名,下
54,VDDPST_3,,电源,3V3_VDDPST_3,,专用,3.3V域，局部滤波/去耦,按每个电源脚放去耦,VDDA模拟电源滤波不可省略,下
55,GPIO42,42,触屏HP I2C1,TP_I2C_SCL,ESP_I2C2_SCL,开漏双向,JDISP1.20,3.3V上拉，屏幕断电时防反灌,HP I2C1；与系统/音频总线隔离，无需假定触控IC地址,下
56,GPIO43,43,触屏HP I2C1,TP_I2C_SDA,ESP_I2C2_SDA,开漏双向,JDISP1.19,3.3V上拉，屏幕断电时防反灌,HP I2C1；与系统/音频总线隔离，无需假定触控IC地址,下
57,GPIO44,44,屏幕控制,LCD_RESET_N,ESP_IO47,输出,JDISP1.1,默认低；电源稳定后释放,3.3V沿用本项目屏幕方案；供电域和上下电次序仍须验证,下
58,GPIO45,45,屏幕控制,LCD_VCI_EN,ESP_IO46,输出,JDISP1.24,默认低；按屏幕电源时序使能,3.3V沿用本项目屏幕方案；供电域和上下电次序仍须验证,下
59,GPIO46,46,屏幕控制,LCD_TE,AM213_TE_RESERVED,输入,JDISP1.3,输入，禁止驱动屏幕TE,3.3V沿用本项目屏幕方案；供电域和上下电次序仍须验证,下
60,GPIO47,47,屏幕控制,TP_INT_N,ESP_IO54,输入,JDISP1.17,按触控规格配置中断/上拉,3.3V沿用本项目屏幕方案；供电域和上下电次序仍须验证,下
61,GPIO48,48,屏幕控制,TP_RESET_N,ESP_IO57,输出,JDISP1.18,默认低；按触控规格释放,3.3V沿用本项目屏幕方案；供电域和上下电次序仍须验证,右
62,GPIO49,49,空闲GPIO,SPARE_GPIO49,,预留,,不接外设，固件避免悬空,供后续扩展；不得替代电源/USB专用脚,右
63,VREF_ADC,,模拟预留,NC_VREF_ADC,,专用,本方案不用触摸/ADC则按手册处理,不作为GPIO,后续启用相关功能须补参考电容,右
64,VDDPST_4,,电源,3V3_VDDPST_4,,专用,3.3V域，局部滤波/去耦,按每个电源脚放去耦,VDDA模拟电源滤波不可省略,右
65,GPIO50,50,空闲GPIO,SPARE_GPIO50,,预留,,不接外设，固件避免悬空,供后续扩展；不得替代电源/USB专用脚,右
