Ref,Value,Side,X_from_outline_mm,Y_from_outline_mm,Angle_deg,KiCad_X_mm,KiCad_Y_mm,Reason
C1,10uF,F,38.573,52.124,180.0,167.441,119.771,Existing relative placement retained
C10,10uF,F,40.35,56.884,180.0,169.218,124.531,Existing relative placement retained
C11,47nF,F,32.0,58.5,0.0,160.868,126.147,Local clearance refinement while keeping destination circuit close
C12,10uF,F,30.902,55.553,0.0,159.77,123.2,Existing relative placement retained
C13,100nF,F,22.0,24.6,0.0,150.868,92.247,Local Flash decoupling near pin 8; not a completed bare-chip VDD_SPI circuit
C14,1uF,F,35.982,64.57,0.0,164.85,132.217,Existing relative placement retained
C15,10uF,F,37.1475,56.878,0.0,166.0155,124.525,Existing relative placement retained
C16,47uF,F,33.188,63.3,-90.0,162.056,130.947,Existing relative placement retained
C17,2.2uF,F,3.14,52.251,-90.0,132.008,119.898,DAC local circuit retained: moving downward conflicts with motor carrier
C18,22uF,F,4.918,49.0505,-90.0,133.786,116.6975,DAC local circuit retained: moving downward conflicts with motor carrier
C19,2.2uF,F,4.918,52.251,-90.0,133.786,119.898,DAC local circuit retained: moving downward conflicts with motor carrier
C2,10uF,F,35.497,46.0545,180.0,164.365,113.7015,Existing relative placement retained
C20,2.2uF,F,7.204,52.632,0.0,136.072,120.279,DAC local circuit retained: moving downward conflicts with motor carrier
C21,2.2uF,F,15.586,52.124,0.0,144.454,119.771,DAC local circuit retained: moving downward conflicts with motor carrier
C22,2.2uF,F,12.03,53.013,-90.0,140.898,120.66,DAC local circuit retained: moving downward conflicts with motor carrier
C23,2.2uF,F,16.221,50.092,90.0,145.089,117.739,DAC local circuit retained: moving downward conflicts with motor carrier
C24,2.2uF,F,14.951,50.092,-90.0,143.819,117.739,DAC local circuit retained: moving downward conflicts with motor carrier
C25,2.2uF,F,15.586,53.775,0.0,144.454,121.422,DAC local circuit retained: moving downward conflicts with motor carrier
C26,4.7uF,F,14.951,47.0695,90.0,143.819,114.7165,DAC local circuit retained: moving downward conflicts with motor carrier
C27,100nF,F,15.459,45.012,0.0,144.327,112.659,DAC local circuit retained: moving downward conflicts with motor carrier
C28,100nF,F,4.41,46.79,180.0,133.278,114.437,DAC local circuit retained: moving downward conflicts with motor carrier
C29,100nF,F,16.221,47.044,90.0,145.089,114.691,DAC local circuit retained: moving downward conflicts with motor carrier
C3,100nF,B,28.997,54.486,90.0,157.865,122.133,Existing relative placement retained
C30,1uF,F,21.262,52.413,0.0,150.13,120.06,"1.8V audio LDO adjacent to DAC, separated from switching regulator"
C31,1uF,F,17.8,53.5,-90.0,146.668,121.147,Local clearance refinement while keeping destination circuit close
C32,10pF,F,4.207,39.5255,180.0,133.075,107.1725,DAC local circuit retained: moving downward conflicts with motor carrier
C33,10pF,F,4.3725,45.483,180.0,133.2405,113.13,DAC local circuit retained: moving downward conflicts with motor carrier
C34,100nF,F,11.522,39.63,180.0,140.39,107.277,Level translator between MCU corridor and DAC
C35,100nF,F,22.19,41.408,180.0,151.058,109.055,I2S translator between MCU corridor and DAC
C36,100nF,F,20.92,64.57,-90.0,149.788,132.217,Existing relative placement retained
C37,100nF,F,28.7,54.4,90.0,157.568,122.047,Local clearance refinement while keeping destination circuit close
C38,100nF,F,23.5,52.1,90.0,152.368,119.747,Local clearance refinement while keeping destination circuit close
C39,1uF,B,23.5,11.0,-90.0,152.368,78.647,Provisional core support on back; reassess after bare-chip pinout
C4,1uF,B,33.5,62.0,0.0,162.368,129.647,Motor driver grouped close to motor wire pads
C40,100nF,B,24.0,15.0,90.0,152.868,82.647,Provisional core support on back; reassess after bare-chip pinout
C41,1uF,B,26.0,15.0,90.0,154.868,82.647,Provisional core support on back; reassess after bare-chip pinout
C43,220nF,B,37.938,50.155,-90.0,166.806,117.802,Battery gauge and local network closer to battery pads
C44,100nF,F,25.5555,52.4265,0.0,154.4235,120.0735,USB-UART bridge beside USB mux; avoids long differential pair branch
C45,100nF,B,32.0,23.0,-90.0,160.868,90.647,Provisional core support on back; reassess after bare-chip pinout
C46,100nF,B,34.0,23.0,-90.0,162.868,90.647,Provisional core support on back; reassess after bare-chip pinout
C47,100nF,F,7.712,29.569,-90.0,136.58,97.216,Existing relative placement retained
C48,100nF,F,6.4165,26.0635,0.0,135.2845,93.7105,Existing relative placement retained
C49,10uF,B,11.903,13.338,-90.0,140.771,80.985,Existing relative placement retained
C5,1uF,B,42.0,59.8,-90.0,170.868,127.447,Motor driver grouped close to motor wire pads
C50,100nF,B,13.1905,13.333,-90.0,142.0585,80.98,Existing relative placement retained
C51,100nF,F,25.073,58.294,0.0,153.941,125.941,USB-UART bridge beside USB mux; avoids long differential pair branch
C53,100nF,B,30.2,43.3,90.0,159.068,110.947,Local clearance refinement while keeping destination circuit close
C54,1uF,B,31.3,45.3,-90.0,160.168,112.947,Local clearance refinement while keeping destination circuit close
C58,100nF,B,39.5,59.1,180.0,168.368,126.747,Local clearance refinement while keeping destination circuit close
C59,100nF,B,23.917,46.8915,90.0,152.785,114.5385,Existing relative placement retained
C6,100nF,B,29.5765,47.6545,180.0,158.4445,115.3015,Existing relative placement retained
C61,220nF,B,36.414,47.564,90.0,165.282,115.211,Battery gauge and local network closer to battery pads
C7,100nF,B,32.4975,47.9085,0.0,161.3655,115.5555,Existing relative placement retained
C8,22uF,F,3.14,49.0505,-90.0,132.008,116.6975,DAC local circuit retained: moving downward conflicts with motor carrier
C9,4.7uF,F,32.299,60.252,180.0,161.167,127.899,Existing relative placement retained
CARD2,TF PUSH,F,10.699,14.763,-90.0,139.567,82.41,Locked enclosure/interface anchor
CN1,PJ-342B-TX-SMT,F,11.565,67.425,90.0,140.433,135.072,Locked enclosure/interface anchor
CN2,SOLDER_WIRES_3P,B,43.653,52.632,90.0,172.521,120.279,"Locked original solder-pad positions; omit tall header, use insulated wires"
CN3,SOLDER_WIRES_2P,B,43.78,66.856,90.0,172.648,134.503,"Locked original solder-pad positions; omit tall header, use insulated wires"
