pin,mainboard_net,screen_function,socket_case_y_mm,unshifted_screen_pin_y_mm,offset_mm
1,LCD_LEDA,UNKNOWN,21.034,24.9,3.866
2,LCD_LEDK,UNKNOWN,20.734,24.6,3.866
3,ESP_IO47,UNKNOWN,20.434,24.3,3.866
4,ESP_IO46,UNKNOWN,20.134,24.0,3.866
5,ESP_SPI2_CLK,UNKNOWN,19.834,23.7,3.866
6,unconnected-(FPC2-Pad6),UNKNOWN,19.534,23.4,3.866
7,ESP_SPI2_CS,UNKNOWN,19.234,23.1,3.866
8,ESP_SPI2_D3,UNKNOWN,18.934,22.8,3.866
9,ESP_SPI2_D2,UNKNOWN,18.634,22.5,3.866
10,ESP_SPI2_D1,UNKNOWN,18.334,22.2,3.866
11,ESP_SPI2_D0,UNKNOWN,18.034,21.9,3.866
12,GND,UNKNOWN,17.734,21.6,3.866
13,VCC_3V3,UNKNOWN,17.434,21.3,3.866
14,VCC_3V3,UNKNOWN,17.134,21.0,3.866
15,unconnected-(FPC2-Pad15),UNKNOWN,16.834,20.7,3.866
16,unconnected-(FPC2-Pad16),UNKNOWN,16.534,20.4,3.866
17,GND,UNKNOWN,16.234,20.1,3.866
18,ESP_IO54,UNKNOWN,15.934,19.8,3.866
19,ESP_I2C2_SCL,UNKNOWN,15.634,19.5,3.866
20,ESP_I2C2_SDA,UNKNOWN,15.334,19.2,3.866
21,ESP_IO57,UNKNOWN,15.034,18.9,3.866
